Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
806,Xudabu-4,40.351389,120.545833,China,CN,Under Construction,PWR,VVER-1200/V491,2022-05-19,,,1200,2022-09-24T22:33:57+03:00,Wikipedia/IAEA,1112
807,Tianwan-7,34.682800,119.456000,China,CN,Under Construction,PWR,VVER-1200/V491,2021-05-19,,,1171,2022-01-05T00:04:08+02:00,WNA/Wikipedia/IAEA,1105
808,Tianwan-8,34.682800,119.456000,China,CN,Under Construction,PWR,VVER-1200/V491,2022-02-25,,,1171,2022-04-21T20:26:19+03:00,Wikipedia/IAEA,1110
809,Changjiang-4,19.460750,108.899917,China,CN,Under Construction,PWR,HPR1000,2021-12-28,,,1000,2022-04-21T20:26:19+03:00,Wikipedia/IAEA,942
810,Changjiang SMR-1,19.460070,108.889920,China,CN,Under Construction,PWR,ACP100,2021-07-13,,,100,2022-04-21T20:26:19+03:00,WNA/IAEA,1111
811,Changjiang SMR-2,,,China,CN,Planned,PWR,ACP100,,,,,2021-05-29,WNA,
812,Bohai Shipyard FNPP,,,China,CN,Planned,PWR,ACPR50S,,,,,2021-05-29,WNA,
813,Jiaodong Shipyard FNPP,,,China,CN,Planned,PWR,ACP100S,,,,,2021-05-29,WNA,
814,Shanwei-2,,,China,CN,Planned,PWR,,,,,,2021-05-29,WNA,
815,BREST-OD-300,56.637414,84.904510,Russia,RU,Under Construction,FBR,BREST-OD-300,2021-06-08,,,300,2022-01-05T00:04:08+02:00,IAEA/WNA,1106
816,Sanaocun-2,27.201487,120.517974,China,CN,Under Construction,PWR,HRP1000,2021-12-30,,,1117,2022-04-21T20:26:19+03:00,IAEA,1107
817,El Dabaa-2,31.044167,28.497778,Egypt,EG,Under Construction,PWR,VVER-1200,2022-11-19,,,1100,2023-08-28T08:01:45+03:00,IAEA/Wikipedia,138
818,El Dabaa-3,31.044167,28.497778,Egypt,EG,Under Construction,PWR,VVER-1200,2023-05-03,,,1100,2023-08-28T08:24:00+03:00,IAEA/Wikipedia,1120
819,Lufeng-5,,,China,CN,Under Construction,PWR,HPR1000,2022-09-08,,,1116,2023-08-28T08:01:45+03:00,IAEA,1113
820,Lufeng-6,,,China,CN,Under Construction,PWR,HPR1000,2023-08-26,,,1116,2024-03-03T20:43:43+02:00,IAEA,1114
